UIDLU,Site name,Latitude,Longitude
LU099,Kermandie River at Mc Kibbins Road,-43.17975,146.90707999999998
LU100,Rileys Creek at Rileys Creek road,-43.17891,146.92370999999997
LU101,Rileys Creek at Rileys Ck Rd,-43.17876065,146.92367573597681
LU102,Rileys Creek at Rileys Ck Rd,-43.17876065,146.92367573597681
LU103,Kermandie river,-43.17617,146.91488
LU104,Kermandie River of O'Hallorans rd,-43.16867,146.94237999999999
LU105,My sample Kermandie,-43.16515,146.93044
LU106,Kermandie River at Geeveston,-43.16497984,146.93255007876664
LU107,Kermandie River at Geeveston,-43.16497984,146.93255007876664
LU108,Kermandie at Arve Road,-43.1649,146.932
LU109,Kermandie at Arve Road,-43.1649,146.932
LU110,Kermandie at Arve Road,-43.1649,146.932
LU111,Crookes River at Fourfoot Road,-43.16128137,146.92230749537205
LU112,Crookes River at Fourfoot Road,-43.16128137,146.92230749537205
LU113,Crookes Rivulet at  Fourfoot road,-43.16121,146.92256
LU114,Crookes Rivulet at  Fourfoot road,-43.16121,146.92256
LU115,Nichols Rivulet at Joes Rd,-43.15928692,147.13929089090254
LU116,Nichols Rivulet at Joes Rd,-43.15928692,147.13929089090254
LU117,Arve River at Arve road,-43.15897,146.80682
LU118,Arve River at Arve road,-43.15897,146.80682
LU119,Arve River at Arve Rd,-43.15865981,146.80710550319867
LU120,Arve River at Arve Rd,-43.15865981,146.80710550319867
LU121,Golden Valley Creek at Slab Road,-43.15562,147.07458999999997
LU122,Golden Valley Creek at Slab Road,-43.15562,147.07458999999997
LU123,Golden Valley Creek at Slab Road,-43.15562,147.07458999999997
LU124,Agnes Rivulet at football ground,-43.15553,147.07536
LU125,Agnes Rivulet at football ground,-43.15553,147.07536
LU126,Agnes Rivulet at football ground,-43.15553,147.07536
LU127,Keoghs Creek at Arve Rd,-43.15116278,146.7939077974478
LU128,Keoghs Creek at Arve Rd,-43.15116278,146.7939077974478
LU129,Nicholls Rivulet at Underwood rd,-43.14894,147.1512
LU130,Nicholls Rivulet at Underwood rd,-43.14894,147.1512
LU131,Nicholls Rivulet at Underwood rd,-43.14894,147.1512
LU132,Agnes Rivulet at Slab Rd,-43.13997415,147.08021092367608
LU133,Agnes Rivulet at Slab Rd,-43.13997415,147.08021092367608
LU134,Agnes Rivulet at woodcock rd,-43.13906,147.08038
